ID,Tipo,SKU,Nombre,Publicado(0/1),¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Estado del impuesto,Clase de impuesto,¿En inventario? (0/1),Inventario ,Peso (kg),Longitud (cm),Anchura (cm),Altura (cm),Precio rebajado,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Swatches Attributes,Nombre del atributo 1,Valor(es) del atributo talla,Atributo visible talla,Atributo global talla,Atributo por defecto talla,Nombre del atributo 2,Valor(es) del atributo talla,Atributo visible talla,Atributo global talla,Atributo por defecto talla
10005,variable,,TROPELREA PLATEADA,1,,visible,,Tropelera en vioto delgado (84% pol.-16% alg.) con sublimacion en frente y cuello tejido.,taxable,parent,1,,,,,,,,TOPS Y CAMISETAS,,,11005F2 ,,Talla,"S,M,L",1,,M,color,GRIS,1,,
10005S,variation,,TROPELREA PLATEADA - S,1,,visible,,,taxable,parent,1,2,,,,,25000,50000,TOPS Y CAMISETAS,,,11005F2,,Talla,S,,,,color,GRIS,,,
10005M,variation,,TROPELREA PLATEADA - M,1,,visible,,,taxable,parent,0,0,,,,,25000,50000,TOPS Y CAMISETAS,,,11005C,,Talla,M,,,,color,GRIS,,,
10005L,variation,,TROPELREA PLATEADA - L,1,,visible,,,taxable,parent,1,1,,,,,25000,50000,TOPS Y CAMISETAS,,,11005FP,,Talla,L,,,,color,GRIS,,,
16009,variable,,PANTALONETA RAYAS,1,,visible,,"Pantaloneta en perchado (84% pol.-16% alg.) con corte en costado en estampación textil, cordon plano contramarcado POLEMIK.",taxable,parent,1,,,,,,,,SHORT Y PANTALON,,,16009D,,Talla,"S,M,L",1,,M,color,BEIGE,,,
16009S,variation,,PANTALONETA RAYAS - S,1,,visible,,,taxable,parent,1,3,,,,,30000,55000,SHORT Y PANTALON,,, 16009P,,Talla,S,,,,color,BEIGE,,,
16009M,variation,,PANTALONETA RAYAS - M,1,,visible,,,taxable,parent,0,0,,,,,30000,55000,SHORT Y PANTALON,,,16009P,,Talla,M,,,,color,BEIGE,,,
16009L,variation,,PANTALONETA RAYAS - L,1,,visible,,,taxable,parent,0,0,,,,,30000,55000,SHORT Y PANTALON,,,16009P,,Talla,L,,,,color,BEIGE,,,
16010,variable,,SHORT ÍNDIGO,1,,visible,,"Short en índigo estilo vintage, estampación textil en frente izquierdo, ruedo con guardapolvo rústico.",taxable,parent,1,,,,,,45000,70000,SHORT Y PANTALON,,,16010,,Talla,"S,M,L",1,,M,color,ÍNDIGO,1,,
16010S,variation,,SHORT ÍNDIGO - S,1,,visible,,,taxable,parent,0,0,,,,,45000,70000,SHORT Y PANTALON,,, 16010OP,,Talla,S,,,,color,ÍNDIGO,,,
16010M,variation,,SHORT ÍNDIGO  - M,1,,visible,,,taxable,parent,,1,,,,,45000,70000,SHORT Y PANTALON,,, 16010CD,,Talla,M,,,,color,ÍNDIGO,,,
16010L,variation,,SHORT ÍNDIGO - L,1,,visible,,,taxable,parent,0,0,,,,,45000,70000,SHORT Y PANTALON,,,16010CP,,Talla,L,,,,color,ÍNDIGO,,,
11013,variable,,CROP CORTE EN MAYA,1,,visible,,"Crop en algodón (90% -10% ), con corte en frente en maya piel y estampación textil en frente.",taxable,parent,1,,,,,,,,TOPS Y CAMISETAS,,,11013F/ 11013F2/ 11013C,,Talla,"S,M,L",1,,M,color,ROSA,1,,
11013S,variation,,CROP CORTE EN MAYA - S,1,,visible,,,taxable,parent,0,0,,,,,25000,50000,TOPS Y CAMISETAS,,,11013F/ 11013F2/ 11013C,,Talla,S,,,,color,ROSA,,,
11013M,variation,,CROP CORTE EN MAYA - M,1,,visible,,,taxable,parent,0,0,,,,,25000,50000,TOPS Y CAMISETAS,,,11013F/ 11013F2/ 11013C,,Talla,M,,,,color,ROSA,,,
